"original","translated"
"арзан","inexpensive"
"работает)","works)"
"телефон отличный по доступной цене не виснет не лагает поддерживает тяжёлые игры. рекомендую","The phone is excellent at an affordable price does not hang does not lag supports heavy games. I recommend"
"Не содержит встроенные приложения от Google. Большой объём оперативной и внутренней памяти. Вечатляющая камера.","Does not contain built -in applications from Google. A large amount of RAM and internal memory. Enlightenment camera."
"очень хороший телефон","Very good phone"
"қосымшалары көп, әр түрлі әлеуметтік желілер жүктелген","a lot of attachments, diverse social networks are loaded"
"мощный","powerful"
"телефон огонь, на счёт игр не знаю, брал супруге, двое суток спокойно держится без запядки","The phone is fire, I don’t know at the expense of games, I took my wife, for two days it calmly holds without aim"
"Хороший флагман","A good flagship"
"Всё отлично,работает на ура .","Everything is fine, works with a bang."
"на 100 💯","per 100 💯"
"пока дочка довольна","While my daughter is happy"
"Отличный смартфон","Great smartphone"
"Амир лучший продавец","Amir is the best seller"
"Apple есть Apple","Apple is Apple"
"Отличный телефон, очень шустрый, классная камера и суперский дисплей. Face id на андроид!","Great phone, very nimble, cool camera and super display. Face ID for Android!"
"Классный телефон, камера, зарядка, шустрый","Cool phone, camera, charging, nimble"
"Камерасы керемет екен.  Кино эффект деген тіпті супер.","The camera is great.  The film is even super."
"Бетарею долго держит, звук динамиков громкий","Betraye holds for a long time, the sound of the speakers loud"
"бонус қайда","where is the bonus"
"Про версия","Pro"
"яркость экрана и через месяц уже зависает","The brightness of the screen and after a month already hangs"
"Телефон хорошый","The phone is good"
"отличный телефон за такие деньги!","Great phone for that kind of money!"
"отлично","Great"
"Всё работает","Everything works"
"то что 8Гб оперативной памяти","that 8GB of RAM"
"озу","ozu"
"тел очень хороший,  реагирование быстро","The bodies are very good, the response is fast"
"Хороший аппарат","Good device"
"качество, скорость работы, камеры супер","quality, speed, cameras super"
"Хороший смартфон","Good smartphone"
"Отличный телефон, рекомендуются  к покупке","Great phone, recommended for purchase"
"вес нормальный не тяжелый, есть отпечаток пальца и лица.","The weight is not difficult, there is a fingerprint and face."
"Отличная камера , стилус удобен экран шикарный","Great camera, stylus is convenient for the screen chic"
"Шустрый малый ,достойный процессор,объем памяти приятно удивил.Батарею держит отлично!","The nimble small, worthy processor, the volume of memory pleasantly surprised. The battery holds perfectly!"
"Качества оригинал таза","Quality of the original pelvis"
"нормально","Fine"
"Я в восторге","I am delighted"
"супер телефон","super phone"
"То что я хотела 😍","What I wanted $"
"стоит своей цены","It costs your price"
"Зарядка быстро садится. Мне сказали что на 1.5 дня хватит, на один день ели хватает. Жалею что купила за такую сумму.","Charging quickly sits down. I was told that enough for 1.5 days, they had enough ate. I regret that I bought for such an amount."
"дизайн хороший телефон работает без проблем","The design is a good phone works without problems"
"смартфон летает. не берусь говорить за другие марки. сравнивать не с чем. 15 Гб (12+3) оперативной уже о чем то говорит.","The smartphone flies. I do not presume to speak for other brands. There is nothing to compare with. 15 GB (12+3) Operational is already talking about something."
"супер жене нравится","Super wife likes it"
"Хороший телефон для детей самое то","Good phone for children is the same"
"Очень хорошо приветствует приятная обстановка приветливые сотрудники Продавец Оксана супер","Very well welcomed by a pleasant environment, friendly employees seller Oksana Super"
"Дисплей память ОЗУ форма телефона звук double atmos шикарно","Display memory of RAM phone shape sound DOBLE Atmos is gorgeous"
"Хороший современный смартфон.","Good modern smartphone."
"Удобный в пользовании","Convenient in use"
"очень классный телефон супер","Very cool phone super"
"Долго грузит, не хватает оперативной памяти, работает туго","It loads for a long time, lacks RAM, it works tight"
"комплектация соответствует, смартфон свою работу выполняет, для школьника самое то.","The equipment corresponds, the smartphone performs its work, for the student the most."
"довольны качеством, второй на подарок купили","satisfied with the quality, the second was bought for a gift"
"Отличный телефон за свою цену.","Great phone for your price."
"Хороший смартфон!","Good smartphone!"
"мощный , компактный с хорошей камерой , заряд держит нормально и нет нагрева","powerful, compact with a good camera, the charge holds normally and no heating"
"Отличная селфи камера","Great selfie camera"
"хороший телефон, брали в подарок свекровке","good phone, took the mother -in -law as a gift"
"Дизайн цвет","Design color"
"5+","5+"
"понравился","I liked it"
"телефон өте жақсы, балама алдық, жақсы ұнады, камерасы өте керемет","Phone is very good, I liked the alternative, well, camera is very cool"
"Отличный экран, батарея, защита на 360.","Great screen, battery, protection at 360."
"Отличный крепкий телефон","Great strong phone"
"быстрый ,удобный, хорошо держит зарядку","Fast, comfortable, holds charging well"
"Күшті телефон","A strong phone"
"супер подарок для жены","super gift for his wife"
"телефон күшті","The phone is strong"
"жаксы","kind"
"Рахмет","Thanks"
"хороший телефон,я довольна покупкой.","Good phone, I am happy with the purchase."
"Отличный телефон супер яркий,громкий шустрый","Great phone is super bright, loud nimble"
"Отличный телефон.","Great phone."
"Жақсы  телефон екен балам қуанып ұстап жүр рақмет ін айтып","Good telephone is happy to keep thanking, thank you"
"Большой экран, доступная цена, наличие чехла и тонкой пленки от царапин","Large screen, affordable price, the presence of a case and a thin film from scratches"
"Есть все что необходимо для современного смартфона","There is everything you need for a modern smartphone"
"шустрый ,быстрый пока все норма","nimble, fast so far everything is the norm"
"10 ++++","10 ++++"
"хороший вариант для своих денег","good option for your money"
"Отличныйх телефон","Excellent phone"
"👍👍👍супер ғо","👍👍👍ssper-"
"өте ыңғайлы жеңіл қатты ұнады","Lightweight Lightweight"
"нормальный","normal"
"Тяжелый в управлении","Heavy in management"
"хороший смартфон","Good smartphone"
"Отличный смартфон 5","Great smartphone 5"
"Хороший телефон","Good phone"
"Цена","Price"
"быстрота","rapidity"
"просто супер ребёнок очень рад","just a super child is very happy"
"Консультант супер","Consultant super"
"Жақсы сотка,ұнады қызыма,қол жетімді.рахмет технодомға","A good court, liked my daughter, available. To Technodom"
"Классный телефон, покупали отцу","Cool phone, bought a father"
"Вначале казалось что управление тяжело. но нет оказывается надо просто 1 день посидеть и изучить телефон. оправдал ожидания
дизайн притягательный. цвет серебристый дает","At first it seemed that the management seemed difficult. But no, it turns out you just need to sit for 1 day and study the phone. He met expectations. The design is attractive. Silver color gives"
"цена качество соответствует","Price quality corresponds"
"все отлично","Everything is fine"
"телефон шустрый, отлично работает","The phone is nimble, works fine"
"новый соткасына  риза қызым","My daughter pleased with the story of the story"
"отлично 👍","Excellent ♥"
"Круто","Cool"
"Отличный телефон, давно хотела.","Great phone, I wanted to."
"дешево. полный комплект","cheap. Full set"
"Хороший телефон покупал маме её всё устраивает","A good phone bought her mother everything suits her"
"Апама алғанмын. Дауысы стерео, анық естіледі, бағасына сай.","I have received a sister. The voice sounds stereo, clearly, according to the price."
"Жақсы смартфон. 11 жастағы балама ұнады👍, қатпайды тез зарядталады екен.","A good smartphone. I liked an alternative to an 11-year-old, does not solve quickly."
"на вид прикольный. работает вроде шустро.","The appearance is cool. It seems like a furry."
"Одни только плюсы","Only pluses"
"Хороший","Good"
"звук не очень. фото размытые в ночной съёмке. тормозит при ночной съёмке","The sound is not very. Photo blurred in night shooting. brakes at night shooting"
"тоже хорош, по своему.","Also good, in its own way."
"хороший","good"
"Работает шустро очень, хороший экран, заряд держит достойно, для ребенка или работы то, что нужно","It works quickly a very good screen, the charge holds with dignity, for the child or work what needs"
"Керемет","Miracle"
"Телефон классный,удобный в использовании,не виснет,зарядку держит долго.Рекомендую","The phone is cool, convenient to use, does not hang, holds exercises for a long time. I recommend"
"Классная","Cool"
"отличный смартфон","Great smartphone"
"хороший жене понравился","I liked the good wife"
"Хорошо работает, даже не зависает)","It works well, does not even freeze)"
"Балама ұнады күшті смартфон","Alternative loved a strong smartphone"
"компактный,шустрый,отличный экран,очень удобный в руке,очень симпатичный!","Compact, nimble, excellent screen, very convenient in the hand, very nice!"
"почему то не дали гифт бокс от оппо, хотя он стоял на витрине. очень огорчило","For some reason, they did not give a gift box from the opposition, although he stood in the window. Very upset"
"шустрый","nimble"
"Хорош","Good"
"отличное качество телефона, отличная камера, хороший телефон советую покупать все в технодоме.","Great phone quality, excellent camera, I advise you to buy everything in the technodoma."
"super","super"
"хороший телефон лучше Самсунг","good phone better samsung"
"камера слабовата","chamber the weak"
"память","memory"
"жаксы
лежит в руке","jackets. Lies in the hand"
"классный телефон","Cool phone"
"Быстрое получение товара","Fast receipt of goods"
"очень хорошое телефон!","Very good phone!"
"только цена","Only the price"
"отличный телефон брала на подарок, именинник доволен","I took a great phone for a gift, the birthday person is satisfied"
"хороший 👍 телефон","Good ~ phone"
"Камера
Звук
Начинка","Camera. Sound. Filling"
"Цена, качество и характеристика","Price, quality and characteristic"
"Быстрый ,шустрый, очень удобный, много функции, можно скачать гугл плэй","Fast, nimble, very convenient, many functions, you can download Google Playy"
"отличный смартфон для такой цены","Great smartphone for such a price"
"Купил для ребенка, очень нравится, есть чехол в комплекте и пленка на экране","I bought it for a child, I really like it, there is a cover in the kit and a film on the screen"
"Папага смартфон унады","The pope smartphone cars"
"шик","chic"
"отлично 👌","Excellent 👌"
"удобный","comfortable"
"Быстрая зарядка, шустрый, лёгкий и компактный.","Fast charging, nimble, light and compact."
"купил 3 дня назад пока все отлично, спасибо каспии","I bought 3 days ago, while everything is fine, thanks to the Caspian"
"Шикарный смартфон! Качество, габариты, производительность на высшем уровне!","Gorgeous smartphone! Quality, dimensions, performance at the highest level!"
"плохое качество видео при просмотре в любой соц сети. обменять и вернуть нельзя","Poor video quality when viewing on any social network. You can’t exchange and return"
"телефон пушка","Phone gun"
"процессор, камера, функции","processor, camera, functions"
"хорошее обслуживание ПВЗ, отличный телефон","Good PVZ maintenance, great phone"
"супер","super"
"Четкий, муж доволен, без лишних слов айфон есть айфон 😍","Clear, my husband is satisfied, without further words, an iPhone is an iPhone?"
"Приехал распечатанный и без плёнок","I arrived printed and without films"
"пока нет","Not yet"
"Оболочка, скорость работы, камера","Shell, speed, camera"
"стильный дизайн","Stylish design"
"зарядка долга держать зависимо от использование интернета","Charging debt to keep the Internet"
"Хороший телефон 
Можно рисовать С помощью стилуса 
Герцовка хорошая экран большой","Good phone . Can be drawn using a stylus . The duke is a good screen big screen"
"Жақсы керемет","Well well"
"Телефон понравился сыну.","My son liked the phone."
"Очень удобно пользоваться","It is very convenient to use"
"хороший телефон","Good phone"
"Только достоинства","Only advantages"
"10из 10","100ase 10"
"Сапасы жақсы батареясы ұзаққа жетеді даусы стерео алуға кеңес беремін.","I recommend that you get a good quality of the quality of the quality of the quality."
"Быстрый, тонкий","Fast, thin"
"хорошо работает","It works well"
"по цене и качеству прекрасен","The price and quality is beautiful"
"тема","Topic"
"Супер","Super"
"Неплохой","Not bad"
"Покупали сыну 10 л. Ребенок доволен не зависает быстро заряжается и на долго хватает.  Ребенок быстро скачал все нужны игры.","Bought a son 10 liters. The child is satisfied does not freeze quickly and is enough for a long time.  The child quickly downloaded all games."
"Красивый и удобный дизайн","Beautiful and convenient design"
"Хороший смартфон для своей цены. Легкий, шустрый, умный.","Good smartphone for your price. Light, nimble, smart."
"За 189900 хороший телефон","For 189900 a good phone"
"Пока не заметил","I have not noticed yet"
"Качество сборки, большее количество обновлении операционной системы, самый надёжный бренд","Assembly quality, more update the operating system, the most reliable brand"
"легкий, удобный в использовании! рекомендую","Easy, convenient to use! I recommend"
"Очень удобный, батарея держит зарядку очень долго. Зарядное устройство в комплекте быстро заряжает телефон!👌👍🏻👍🏻","Very convenient, the battery holds exercises for a very long time. The charger in the kit quickly charges the phone!"
"Очень хороший телефон 👍🏻👍🏻","Very good phone ~"
"хороший телефон за такую цену 👍","good phone for such a price"
"Технодом в Каскелене самый лучший","Technodom in Caskelene is the best"
"хороший телефон. не работает а летает. понравилась фото и видео съёмка. быстро заряжается и хорошо держит батарею.","Good phone. does not work but flies. I liked the photo and video shooting. It quickly charges and holds the battery well."
"привизли телефон с ветрины с дефектами","Faced the phone from the windbreaker with defects"
"Удобный телефон.  Сложил и в кармане или сумке мало место занимает. довольно шустрый и камера отличная.","Convenient phone.  He folded and in his pocket or bag takes up little place. Pretty nimble and the camera is excellent."
"очень хороший телефон,не лагает,хорошая камера,шустрый телефон","A very good phone, does not lag, a good camera, a nimble phone"
"Телефон замечательный, особенно мультикадр просто шик. Камера отличная","The phone is wonderful, especially the multicide is just chic. The camera is excellent"
"товар сам по себе хороший","The product itself is good"
"маған ұнады балама алдым сращу 2 шт","I liked my alternative to the story 2"
"жақсы,ыңғайлы, жеткізуі норм","good, convenient, delivery norm"
"Лучший за такие деньги","Best for that kind of money"
"Хороший дисплей, четкая картинка и достойные фотографии, большой зум (как по мне качество фото при максимальном не сил но шакалится), хороший usb type-c провод, хорошая автономность","A good display, a clear picture and worthy photos, a big zoom (as for me, the quality of the photo with maximum is not the strength but waggers), a good USB Type-C wire, good autonomy"
"хороший смартфон за свою цену.","Good smartphone for its price."
"Хорошо","Fine"
"телефон супер","The phone is super"
"Такие возможности за такую приемлемую сумму👍","Such opportunities for such an acceptable amount"
"Телефон супер!","SUPER!"
"сотовый классный!","Cellular cell!"
"Зарина лучший сотрудник технодома","Zarina is the best employee of the Technodoma"
"Нормально работает  андроид не зависает","Android does not freeze normally"
"классный ⭐⭐⭐⭐⭐","Cool ⭐⭐⭐⭐⭐"
"Цена-качество","Price-quality"
"шустрый, все понравилось. Камера хорошая.","Nimble, I liked everything. The camera is good."
"Нет","No"
"Неплохая скорость,удобный интерфейс","Good speed, convenient interface"
"Классный телефон","Cool phone"
"камера✊🔥","Camera✊🔥"
"Алдын ала сыйлыққа алған едім. Көңілінен шығады деп ойлаймын.","I had a pre-gift. I don't think they will please."
"шустрый удобный","Nimble convenient"
"Очень хороший телефон","Very good phone"
"Камера","Camera"
"цена","price"
"Cool","Cool"
"красивый","Beautiful"
"понравился берите не пожалеете","I liked it, take it will not regret"
"телефон очень понравился, камера, изображение 👍","I really liked the phone, camera, image #"
"Камера хорошая для фото, стиль дизайн телефона отличный, сборка телефона и характеристики отличный, 90гц плавность экрана, доп. Функционал монтаж и т.д как о флагман honor 90 ну урезали много чего","The camera is good for the photo, the phone design is excellent, the phone assembly and the characteristics are excellent, 90Hz smooth screen, additional. Functionality installation, etc., as a flagship Honor 90, well, cut a lot of things"
"отличный смартфон всем советуюу","Great smartphone I advise everyone"
"купила за 90000 а через неделю он стал 60000","bought for 90,000 and a week later it became 60,000"
"Нормально","Fine"
"заряжается мгновенно и держит заряд 
сын выбрал себе очень нравится","charges instantly and holds the charge . The son chose himself very much"
"Красивый дизайн, шустрый, необычный","Beautiful design, nimble, unusual"
"нормально работает","It works fine"
"камера, батарея, мощь, самое главное мобильная связь","camera, battery, power, most importantly mobile communications"
"Супер все отлично","Super everything is fine"
"Работой телефона довольна.","I am satisfied with the phone’s work."
"стильный, мощный,крутой","Stylish, powerful, cool"
"классно","Great"
"Покупали дочери в подарок. Подарок был оценён. 👍","Bought daughters as a gift. The gift was estimated. ♥"
"Пока знакомлюсь","So far I am meeting"
"Отлично работает, всё нравится","It works fine, I like everything"
"Пока норм","So far, the norms"
"Интересный magic black. Зарядка supercharge 68w, на доке 15w. Звук JBL","Interesting Magic Black. Charging Supercharge 68W, on the dock 15W. JBL sound"
"взял сыну, в полное доволен","I took my son, in full satisfied"
"Качество на высшем уровне","High -level quality"
"быстро","fast"
"Смартфон Redmi 14C 8/256GB Тип матрицы IPS LCD  Нормальный телефон","Smartphone Redmi 14c 8/256gb type of matrix IPS LCD normal phone"
"Классный гаджет, пока не жалею","Cool gadget until I regret"
"Отличный телефон, очень шустрый, хорошая камера, отличная память, не каждый телефон за эту цену может предложить 256 гигабайт, и еще 5g поддерживаеь","An excellent phone, very nimble, good camera, excellent memory, not every phone can offer 256 gigabytes for this price, and 5G more support"
"Хороший самунг, батарейку держит отлично. Фотик хороший. За такую цену искал только ради матрицы в бюджетном сегменте, окантовка метал, сзади пластик. Широкие рамки, приложения самсунга можно убрать, но отключить нет. Разблокировка лицом экрана довольно быстрая, сенсор разблокировки на экране не очень удобное место.","Good samung, holds the battery perfectly. The fotik is good. For such a price, I was looking only for the sake of the matrix in the budget segment, the edging of the metal, the plastic is behind. A wide framework, Samsung applications can be removed, but not disconnected. Unlocking the screen of the screen is quite fast, the unlock sensor on the screen is not a very convenient place."
"Отличный телефон! Качественный и доступный!","Great phone! High -quality and affordable!"
"Телефон просто супер удобный мне понравился теперь весь товар буду брать у вас спасибо","The phone is just super convenient, I liked it now I will take all the goods from you"
"Самая шикарная модель","The most gorgeous model"
"хороший товар","Good goods"
"suoer","suoer"
"телефон легкий и удобный, камера👍","The phone is light and comfortable, camera"
"Отличный телефон","Great phone"
"Взяла ребенку,неубиваемый телефон😎","I took the child, an indestructible phone😎"
"Балама унады","An alternate UN"
"Бодрый аппарат, доволен","A peppy apparatus, satisfied"
"Купила витринный вариант. Доставили телефон без отключения Демонстрационного режима Retail mode. При обращении на горячую линию был ответ что дозвониться в филиал Актобе невозможно. Предложили идти в магазин. Вопрос: зачем мне лишние проблемы? Обучайте работников подготавливать гаджеты перед отправкой клиенту!","I bought a window option. They delivered a phone without disconnecting the Retail Mode demonstration mode. When contacting a hot line, there was an answer that it is impossible to reach the Aktobe branch. They offered to go to the store. Question: Why do I need extra problems? Teach employees to prepare gadgets before sending the client!"
"хороший водонагреватель","Good water heater"
"смартфон стоит своих денег","Smartphone costs its money"
"Мне все нравится, отличный телефон","I like everything, great phone"
"400","400"
"Отличного качества смартфон","Great quality smartphone"
"клас","class"
"камера хорошая шустрый телефон","camera good nimble phone"
"Айфон есть айфон","There is an iPhone"
"Все супер спасибо большое","All super thank you very much"
"Ия","Have"
"камера отлично снимает, батарея   хорошая. Дизайн 👍","The camera takes off perfectly, the battery is good. Design ♥"
"Спасибо менеджеру Илье!","Thanks to the manager Ilya!"
"Всё отлично","Everything is fine"
"здравствуйте телефон ☎ очень 👍","Hello phone ☎ Very #"
"Отличный телефон для ребенка самое то 👍","Great phone for the child is the most"
"Экран и процессор","Screen and processor"
"Продали по скидке демонстрационную модель, витринный телефон, н чего не обьяснив, то что  такой моделью нельзя пользоваться. Все последствия от такого приобретения я думаю всем понятны, сплошные неприятности и поменять из за ""системной проблемы"" не меняют","They sold at a discount a demonstration model, a window telephone, but without explaining, that such a model cannot be used. I think all the consequences from such an acquisition are clear to everyone, continuous troubles and change due to the ""system problem"" do not change"
"очень хороший телефон по всем параметрам, гугл поддерживает, батарея держит заряд хорошо, камера лучше чем у самсунга и айфона, до этого пользовался и самсунгом и афйфоном, сказать честно хуафей удивил своими наворотами!","A very good phone in all parameters, Google supports, the battery holds the charge well, the camera is better than that of Samsung and iPhone, before that he used Samsung and Afyphon, to say honestly Juafey surprised his bells with his bells and whistles!"
"Шустро работает, 120гц экрана выдают плавную картинку при скроллинге.","It works furiously, 120Hz screen gives a smooth picture for scrolling."
"оте жаксы телефон багасы арзан болсада сапасы жаксы ойын барин котереди👍🏻👍🏻👍🏻","The quality of the phone is cheap to have a cheap quality Game Barin Code"
"быстро обслужили","quickly served"
"Экран, жады мөлшері, аккумулятор","Screen, memory size, battery"
"пока нетуу","Netu"
"офигенный телефон , цена характеристики , связь ловит лучше чем Samsung s23 ultra. Пишу потому что был Самсунг","Awesome phone, the price of the characteristics, the connection catches better than the Samsung S23 Ultra. I write because there was Samsung"
"Большая память, прочный экран","Large memory, durable screen"
"хороший, быстрый телефон. Брала сыну на подарок, доволен, все игры тянет.","Good, fast phone. I took my son for a gift, satisfied, all the games are pulling."
"Телефон отличный , мне очень понравилось","The phone is excellent, I really liked it"
"отлично работает👍","It works fine"
"Все хорошо","Everything is fine"
"Мне нравится","I like"
"Жақсы телефон","A good phone"
"Простой","Simple"
"телефон хороший , рекомендую 😊","The phone is good, I recommend 😊"
"телефон хороший","The phone is good"
"Уже есть чехол, камера хорошая основная и фронтальная, динамик мощный, память 64 Г радует, хороший смартфон","There is already a cover, the camera is good main and front, powerful speaker, 64 g of the memory, good smartphone"
"нет","No"
"Очень нравится телефон, качественный звук, камера супер, удобен в использовании!","I really like the phone, high -quality sound, the camera is super, convenient to use!"
"Лёгкий, быстрый в перемещении и загрузках","Light, fast in movement and loading"
"Лучший смартфон 2025 года","The best smartphone 2025"
"Уакытыннан ерте келди рахметтт🥰","Okane came to Rahmet"
"Классная новая модель. хорошо держит заряд. Дизайн на 5+","Cool new model. Holds the charge well. Design at 5+"
"Слабый телефон","Weak phone"
"Жақсы сапасы өте кушті","A very good quality of good quality"
"норма","norm"
"красивый цвет,
качество изображения 👍","Beautiful color,. Image quality #"
"Нету","No"
"Хороший телефон за такую цену","Good phone for such a price"
"Работает хорошо","It works well"
"смартфоны OPPO самые лучшие 🥳","Oppo smartphones are the best 🥳"
"отличный товар.Удобный.Яркий экран.Отлично работает","Great goods. Active. Fire screen. Excessively works"
"Супер, отличный дизайн, идеально для меня","Super, great design, perfect for me"
"Норм так себе","The norms so yourself"
"на день батарейки спокойно хватает","There is calmly enough battery for a day"
"работает хорошо","It works well"
"однозначно стоит своих денег","definitely costs your money"
"качество красота стабильность","quality beauty stability"
"Греется батарейка","The battery is heated"
"Классно","Cool"
"Ещё не открывал; подарок жене на день рождения, но тех. отзывы об аппарате отличные!","I have not yet opened it; A birthday gift for a birthday, but those. Reviews about the device are excellent!"
"классный и удобный, прост в обращении. Цена оправдывает качество.","Cool and convenient, easy to handle. The price justifies the quality."
"Пойдет","It will go"
"казырге жақсы","good to the presence of"
"Размер и качество","Size and quality"
"Хороший телефон за свою цену","Good phone for your price"
"Приобрела телефон в Технодоме по Абулхаир-хана по акции совместно с Береке банком. Об акции сказали в магазине консультанты, что будет скидка 10% и  10% кэшбека на карту банку, а теперь у банка выясняется, что кэшбэк у них лимитный 15тысяч, но об этом в условиях не говорилось. Ввели в заблужение, информацию надо давать полную раз проводите такого рода акции. Жалею что купила у вас!","I purchased a phone in the technodom on Abulkhair Khan on the action together with Bereke Bank. Consultants said about the action that there would be a 10% discount and 10% of the cashback on the bank card, and now it turns out that they have a limit 15 thousand cashback, but this was not said in the conditions. Misleaded, information should be given the timely time to carry out such shares. I regret that I bought from you!"
"понравился телефон","I liked the phone"
"лучше чем s23 fe","Better than s23 Fe"
"керемет кызыма унады","The miracle of my daughter"
"Хороший консультант","Good consultant"
"хороший телефон за свои деньги.","Good phone for your money."
"рахмет","thanks"
"Отлично работает","It works fine"
"унады","UN"
"Экран и внешность как у айфона","Screen and appearance like an iPhone"
"ұнады жақсы телефон, промокодпен алдым технодомға рахмет","liked a good phone, and I got a promo code thanks to Technodom"
"Хороший бюджетный смартфон","Good budget smartphone"
"очень хороший смартфон,не лагает быстроа работает","Very good smartphone, does not lag quickly working"
"только плюсы","Only pluses"
"отличный телефон","Great phone"
"хорошая камера, быстрая зарядка, динамики громкие, большая память, не зависает в играх и чехол в комплекте - отличный телефон для ребенка!!! Заряда батареи при ОЧЕНЬ активном использовании хватает на целый день!","A good camera, fast charging, loud speakers, large memory, does not hang in games and a cover included - an excellent phone for a child !!! Battery charge with very active use is enough for the whole day!"
"память, процессор, камера","Memory, processor, camera"
"Өте жақсы телефон. Бізге ұнады","A very nice phone. We liked"
"Отличный смартфон работает быстро.Камеры просто супер.","Great smartphone works fast. Camers are just super."
"всё отлично!","Everything is fine!"
"Отличный телефон, купила детям, очень хорошо работает","Great phone, bought children, works very well"
"Супер!","Super!"
"Мощный смартфон","Powerful smartphone"
"Әзірше қолданбадым","I haven't used yet"
"цена/качество","price/quality"
"пока все устраивает","So far, everything suits"
"Все отлично 👍","Everything is fine ♥"
"все супер","Everything is super"
"Очень классный телефон","Very cool phone"
"отлично работает 👍😊","It works fine #😊"
"кушты","added"
"цена, беспроводная зарядка","Price, wireless charging"
"Хороший телефон для своей цены","Good phone for your price"
"норм","norms"
"Хорошие телефон для своей суммы","Good phone for their amount"
"классный","Cool"
"Качество,  цена , практичность , надёжность","Quality, price, practicality, reliability"
"klass","klass"
"керемет","miracle"
"хорошоый тел","Good tel"
"пока нормально","So far, it’s normal"
"90мың теңгеге 5g","5G for 90 thousand tenge"
"Мен ойлағаннанда күшті","Is strong when I thought"
"Спасибо хорошо работает 100%","Thanks works well 100%"
"Телефон жаксы","Phone"
"отличный","great"
"отлично держит заряд, качество фотографий на высшем уровне, видео огонь","It holds the charge perfectly, the quality of photos at the highest level, video fire"
"100%","100%"
